block_number,timestamp,base_fee_per_gas
24443314,1770930911,53975135
24443315,1770930923,54474367
24443316,1770930935,53052415
24443317,1770930947,52504383
24443318,1770930959,56028385
24443319,1770930971,55231571
24443320,1770930983,53720210
24443321,1770930995,48966900
24443322,1770931007,55086433
24443323,1770931019,59525729
24443324,1770931031,58340971
24443325,1770931043,57777605
24443326,1770931055,52754608
24443327,1770931067,53815276
24443328,1770931079,53888609
24443329,1770931091,54251810
24443330,1770931103,54606654
24443331,1770931115,54267484
24443332,1770931127,51701562
24443333,1770931139,49745801
24443334,1770931151,52915450
24443335,1770931163,49322303
24443336,1770931175,54881711
24443337,1770931187,54866895
24443338,1770931199,53923572
24443339,1770931211,56551560
24443340,1770931223,55327460
24443341,1770931235,53918895
24443342,1770931247,57200441
24443343,1770931259,58997143
24443344,1770931271,56412009
24443345,1770931283,56478166
24443346,1770931295,54724326
24443347,1770931307,53034602
24443348,1770931319,49595273
24443349,1770931331,54949819
24443350,1770931343,52213228
24443351,1770931355,55049958
24443352,1770931367,55479310
24443353,1770931379,54742341
24443354,1770931391,55205750
24443355,1770931403,55028837
24443356,1770931415,52581944
24443357,1770931427,48318695
24443358,1770931439,53454276
24443359,1770931451,60119256
24443360,1770931463,55471307
24443361,1770931475,57241829
24443362,1770931487,60777913
24443363,1770931499,60006130
24443364,1770931511,58444489
24443365,1770931523,55206418
24443366,1770931535,58149133
24443367,1770931547,55977740
24443368,1770931559,56871420
24443369,1770931571,55203364
24443370,1770931583,56571471
24443371,1770931595,54316821
24443372,1770931607,54884656
24443373,1770931619,55875587
24443374,1770931631,54384586
24443375,1770931643,52570488
24443376,1770931655,52742512
24443377,1770931667,50588006
24443378,1770931679,50692086
24443379,1770931691,46748682
24443380,1770931703,51230673
24443381,1770931715,50003126
24443382,1770931727,52010188
24443383,1770931739,46693960
24443384,1770931751,51467463
24443385,1770931763,50400467
24443386,1770931775,51520304
24443387,1770931787,49908959
24443388,1770931799,49023832
24443389,1770931811,43791641
24443390,1770931823,46832854
24443391,1770931835,52427188
24443392,1770931847,52410875
24443393,1770931859,49363530
24443394,1770931871,49827409
24443395,1770931883,51149605
24443396,1770931895,49816018
24443397,1770931907,55095352
24443398,1770931919,51870257
24443399,1770931931,52754701
24443400,1770931943,51413013
24443401,1770931955,54189451
24443402,1770931967,52400578
24443403,1770931979,48549552
24443404,1770931991,48601190
24443405,1770932003,54244460
24443406,1770932015,52396234
24443407,1770932027,47645423
24443408,1770932039,51703101
24443409,1770932051,48162846
24443410,1770932063,54177239
24443411,1770932075,50805794
24443412,1770932087,47040943
24443413,1770932099,52918950
24443414,1770932111,59471113
24443415,1770932123,56049012
24443416,1770932135,59496343
24443417,1770932147,62143288
24443418,1770932159,57888840
24443419,1770932171,60050511
24443420,1770932183,57570701
24443421,1770932195,54980402
24443422,1770932207,52295027
24443423,1770932219,55942310
24443424,1770932231,52002626
24443425,1770932243,58094444
24443426,1770932255,55937521
24443427,1770932267,57965959
24443428,1770932279,53548681
24443429,1770932291,49937604
24443430,1770932303,48641601
24443431,1770932315,54721725
24443432,1770932327,56048175
24443433,1770932339,55207167
24443434,1770932351,53968386
24443435,1770932363,55010878
24443436,1770932375,55406390
24443437,1770932387,58002130
24443438,1770932399,55475012
24443439,1770932411,56494688
24443440,1770932423,58469680
24443441,1770932435,58234173
24443442,1770932447,57879315
24443443,1770932459,56120358
